year,status,track,place,team,prize_text,prize_amount_usd,project,members,follow_on
2023,complete,Beall,1st,Pulsera,"$10,000",10000,A pulse oximeter and continuous blood-pressure monitor integrated into a sleek slipper design for at-home monitoring of pregnant patients to help diagnose preeclampsia early.,Alex Garcia; Claire Livengood; Nicolette Fulcomer; Ryan Hsu; Zayd Bham,
2023,complete,Beall,2nd,Encephalopod,Not Listed,,"A portable, rapid-response EEG aimed at non-convulsive seizures and stroke detection in pre-hospital settings.",Andres Torres; Joshua Medina; Omar Ibrahim; Raine Hagerty; Targol Moghaddam,
2023,complete,Beall,3rd,WEngineers (Lengage Ware),Not Listed,,Glasses-mounted real-time audio translation and transcription for hearing-impaired and multilingual settings.,Cassandra Nguyen; Jessica Lee; Kaylee Quach; Kristin Hagen; Logan Lee; Madeleine Marston,
2023,complete,Brazilian Collaboration,Winner,N3.AI,Not Listed,,"An app for pregnant women and new mothers to manage mood - Nourish, Nurture, Nudge.","UCI: Kousha Asthiani, Mahyar Abbasian, Nitish Nagesh; PUCRS: Felipe Cardona, Léo Falcão, Thomas Mello",
2023,complete,Butterworth,1st,Eupnea,Not Listed,,An AI mobile and web app that diagnoses tuberculosis. Users photograph their TB-test injection site with a coin for scale; Azure Cognitive Services calculates risk by measuring skin reaction relative to coin reference.,Chidroop Iyyhappan; Lakshmi Vibhu Narke; Yogita Mallikarjun Pattan; Aditya Sreerama (Duke),Won Microsoft Imagine Cup Epic Challenge 2023 American Region ($5K + $100K grand prize finalist slot); reached Top 3 worldwide at Imagine Cup World Championship 2023 (TAWI from Kenya won the championship)
2023,complete,Butterworth,2nd,Nibble,Not Listed,,Simplifies the process of finding a restaurant for a group with different tastes and dietary preferences.,Kimia Yazdani; Saghar Ansaripoor,
2023,complete,Butterworth,3rd,ChewRank,Not Listed,,A restaurant ranking and marketing platform.,Chi Wei Chen; Hsin-yi Lin; Wei-Chia Hsu; Xiaohan Li; XinYao Xu,"Named one of the 10 finalists at the 2023 Stella Zhang NVC (19th annual, first year as the Stella Zhang-branded NVC)."
2022,complete,Beall,1st,Idene Medical,"$10,000",10000,Patent-pending grab bar that assists wheelchair users with various mobility tasks in a portable and independent manner.,Raniel Calilung; Sang Hee Kim; Evelyn Novoa; Sam Rostami,
2022,complete,Beall,2nd,VANTAMASK,"$6,500",6500,An electric reusable consumer-grade PPE for protection against airborne substances.,Nnaoma Agwu; Daryl Chau,
2022,complete,Beall,3rd,Thrust Aeronautics,"$3,500",3500,Toroidal aerospike for liquid-fueled rockets - exploits the aerospike's 90% better performance than a bell nozzle.,Isaac Larroque; Michael Ross,
2022,complete,Butterworth,1st,Leprendo,"$10,000",10000,An online farmer's marketplace bringing delicious specialty produce from farmers directly to consumers.,Nina Nguyen; Dylan Riffle; Dan Ta,"Continues to operate at leprendo.com; reported ~$400K first-year sales; recipient of $250,000 USDA Farmers Market Promotion Program grant announced December 2024; also won 2022 UCI Stella Zhang New Venture Competition (1st in Consumer Products, 2nd overall); partnered with Go Steward financing platform."
2022,complete,Butterworth,2nd,FoodPool,"$6,500",6500,Affordable food delivery for students at lunch and dinner from a curated selection of restaurants - a dining hall on wheels for a transparent $2 delivery fee.,Sanghyun Byun; Arthur Lafrance; Patrick Wang; Kevin Xu,
2022,complete,Butterworth,3rd,Consense,"$3,500",3500,An IoT system that leverages crowd-sourced data to make cities safer for cyclists and micro-mobility users.,Richard DeAmicis; Lily He; Ado Ibori; Melissa Yuenn,
2021,complete,Beall,1st,forMED Technologies (TonoLase),Not Listed,,"Eye-care startup improving glaucoma management via the TonoLase, an at-home non-invasive intraocular-pressure monitoring device.",Lily McGrale; Aryan Agarwal; Ruben Shakya; Raphael Francis Aguas; Kamalesh Ananthakrishnan,Lily McGrale was a 2021 Blackstone LaunchPad Fellow and Summer 2021 VentureWell E-Team participant; finalist 2022 TigerLaunch; team also won 2022 Stella Zhang life-sciences track. Effectively the successor to the 2019 AllerChain combined-track finalist team. Lily McGrale is now R&D Engineer II at Medtronic; the TonoLase product did not reach standalone commercialization.
2021,complete,Beall,2nd,Phoraptor,Not Listed,,Affordable phoropter for low-income communities lacking access to expensive vision-test devices.,Rahul Sreedasyam; Ishaan Sharma; Soham Patel; Shaan Braich; Alon Pavlov; Abhishek Kulkarni,
2021,complete,Beall,3rd,The Blue Box,Not Listed,,AI-powered biomedical device for non-invasive in-home breast-cancer testing.,Diego Esparza; Lauren Hoshiko,
2021,complete,Butterworth,1st,Grasshopper Fund,Not Listed,,"Startup marketplace and funding platform for youth-led startups, providing online entrepreneurship coaching, a mentor/peer network, and the first rewards-based crowdfunding platform investing in youth-led startups.",Caitlyn Yang; Ovya Barani; Nathan Tisuela,"Caitlyn Yang founded sister venture StartSmart (startsmart.co); was a Blackstone LaunchPad / Techstars top-30 semifinalist (out of 900); joined Wayfinder. Now Mechanical Engineer at SpaceX (Los Angeles; PE-licensed). UCI Rocket Project (Liquids) progression: Solids Engineer (2020-21), Operations Lead (2021-22), Lead Launch Vehicles Engineer (2022-23)."
2021,complete,Butterworth,2nd,Nutripair,Not Listed,,Early-stage tech-enabled health and wellness company pairing people with personalized nutrition solutions / food-pairing technology for restaurants.,Bing Mo; Catlin Tran,"Won 2022 Stella Zhang NVC Business Products & Services 1st ($10,000). Catlin Tran 23 named as winner. Listed in UCI Beall Applied Innovation startup directory."
2021,complete,Butterworth,3rd,Armory,Not Listed,,Interactive cybersecurity-learning platform with hands-on labs for proactive secure-code education.,Kumar Vaibhav; Maaz Syed Adeeb; Vineet Bharot; Shuvam Ghosh,
2020,cancelled,,,,,,Global COVID-19 pandemic and UCI campus closures,,
2019,complete,Beall,1st,Qardiac,"$10,000",10000,Transforming the way blood pressure is measured using soft-skin-like pressure sensors.,Joshua Kim; Lancy Lin; Sophia Chou; Uuanke Zhang,"Commercialized as Vena Vitals (founded 2019; Y Combinator-backed). $1.43M total raised; 14 employees; 600+ patients tested in operating rooms; FDA clearance anticipated within 2026; market launch targeted late 2027. March 2026: opened R&D lab at Roseman University of Nevada Summerlin (~60 jobs). Co-founders Joshua Kim (CTO; Khine Lab PhD), Michelle Khine (BME professor), Ray Liu (CEO; Harvard MBA + UC Berkeley MS + UIUC BS)."
2019,complete,Beall,2nd,CenSyn,"$6,500",6500,"Improving quality of patient care and outcomes by creating accessible hand-held portable brain monitoring devices. Now operating as CenSyn Inc., a Berkeley SkyDeck-funded company.",Ayushi Hitesh Patel; Trevor Gray Silence; Anirudh Bhushan; Hengji Chen; Quinn Korematsu; Raj Parekh,"Founded CenSyn Inc. in 2019 (Ayushi Patel CEO, Andy Bhushan business strategist, Trevor Silence). Product: CenSyn PenEEG. Funding: $105K Seed from Berkeley SkyDeck (Sept 28, 2021); other investors: Arizona Commerce Authority, 1517 Fund, HonorHealth, Monsoon Venture Fund, Skydeck Capital. Executive Chairman: Peter Crosby (40 yrs medical-device industry). Pursuing FDA 510(k) clearance."
2019,complete,Beall,3rd,HemaDynamics,"$3,500",3500,Utilizes intellectual property developed at UCI's Beckman Laser Institute for a portable blood-flow imaging modality (diabetic foot ulcer monitoring).,Adrian Bahani; Emil Lundqvist; Steven Chang; Stephanie Pascua; Natasha Palamuttam; Dian Song,
2019,complete,Butterworth,1st,CheckUP,"$10,000",10000,"Health data collection using a well-designed mobile app interface to sell consumer blood tests, immunology tests, whole genome sequencing, and mobility assessments.",Zachary Little; Kenneth Rhee; Dan Appel; Francisco Barcena,
2019,complete,Butterworth,2nd,Giv,"$6,500",6500,Mobile-first online giving experience prioritizing modern donors with curated short-form video content from vetted nonprofits.,Lucas Erb; Haven King; Ryan Luu; Nisarg Shah,
2019,complete,Butterworth,3rd,Pyri,"$3,500",3500,"Two-sided platform allowing travelers to acquire foreign currency from their lodging - bed & breakfast, hostel, or hotel.",Salahaldeen Ali; Niijan Al-Amin,
2018,complete,Beall,1st,FWMAV,"$10,000",10000,Flapping Wing Manned Aerial Vehicle (FWMAV) - non-invasive drone replacing each of four traditional propellers of a quadcopter with a pair of mechanical wings.,Bao Pham; Nathan Cabezut; Patrick Zhu,
2018,complete,Beall,2nd,HUMBLE Technologies,"$6,500",6500,"Re-engineered syringe that eliminates the need for old syringe priming methods, resolving medical errors brought about by outdated technology.",Bien Gutierrez; Wendy Nguyen; Jonathan Enriquez; Xiantong Yang; Chad Bishop; Krissa Tassin,"Active Delaware C corporation (incorporated Feb 9, 2018); 100% UCI/SDSU undergraduate-owned. CEO and principal inventor Bien Gutierrez. Won 2nd place + $750 in TCU Values & Ventures 2018 Elevator Pitch."
2018,complete,Beall,3rd,Mechanodontics,"$3,500",3500,Customized braces alleviating obstacles faced by orthodontists; halves treatment time.,Zahra Mardy; Mahdi Abbaspour,"Now BRIUS Technologies (HQ Carrollton TX); $46.2M total raised including $19.5M Series B led by View Ventures (May 2025); CEO Lea Ellermeier; co-founder Mehdi Peikar won UCLA Sandler Prize $70K (2017) and team won UIUC Cozad $25K Grand Prize (2019). Highest-funded BBComp-traceable venture on record."
2018,complete,Butterworth,1st,ZOOT,"$10,000",10000,Mobile application that helps users find their lost items through an immersive AR journey.,Zarina Bahadur; Ting-Wei Lin; Roger Dalke,"Zarina Bahadur founded 123 Baby Box (active subscription-commerce company); won 2020 Stella Zhang NVC Grand Prize ($25K) as first MIE student to win; April 2023 oversubscribed $1.2M pre-seed (~$1.3M total raised); 245% growth in 2024."
2018,complete,Butterworth,2nd,CrewView,"$6,500",6500,"Cross-platform AR/VR application for creative teams in entertainment to view, communicate, and collaborate during design and production.",Ke Jing; Christopher Ayuso; Max Collins; Melisse Yutuc; Aparajita Marathe; Fernando Penaloza; Tyler Scrivner; Hannah Tran,
2018,complete,Butterworth,3rd,Breakdown,"$3,500",3500,Web application as a centralized political-information hub allowing users to compare their stances with elected representatives and candidates.,Ryan Oillataguerre; Brodric Cormier,
2017,complete,Beall,1st,Krobotech,"$7,500",7500,Affordable competitive prosthetic hand designed to outperform existing low-cost options.,Ethan Kirkley; Zepyour Khechadoorian; Cameron Hunt; Kevin Wong,
2017,complete,Beall,2nd,Red Lion Robotics,"$5,000",5000,Accessible low-cost tools for motivational walking-rehab.,Yasemin Sarigul-Klijn; Peter Wang; Hwan Heo,"Same active company as the 2016 Red Lion Robotics entry (Hwan Heo replacing Brandon Tsuge); only confirmed back-to-back Beall 2nd-place team in the joint era."
2017,complete,Beall,3rd,Syntr Health Technologies,"$2,500",2500,Affordable point-of-care therapeutic for diabetic foot ulcers.,Ahmed Zobi; Hugo Salas; Justin Stovner; Jade Tassey; Adrain Bahani,"Active commercial company at University Lab Partners. $10M raise announced March 2023 + $2.2M seed (Aug 2021) + $300K Phase I SBIR/NIH grant (Oct 2017). Syntrfuge FDA-cleared (per company); the world's first and only Automated Microfat Processing System."
2017,complete,Butterworth,1st,Memorlane,"$7,500",7500,Collaborative photo-sharing platform that streamlines categorization by allowing users to upload photos to communal albums tied to specific locations.,Evan Schein; Yocelyn Recinos; Michael Tran,"First same-year BBComp + NVC double win on record - team also won 2017 Stella Zhang NVC Consumer Services 1st. Evan Schein remains the listed founder of Memorlane (UCI BS BME; prior UCI ANTrepreneur Center). Yocelyn Recinos: Columbia PhD as NSF Graduate Research Fellow → now Patent Agent at Clark+Elbing (Boston)."
2017,complete,Butterworth,2nd,AirNotes,"$5,000",5000,Motion Analytic System (AirTouch) - wearable hand computer with haptic feedback for note-taking and gesture input.,Olaoluwa Adesanya; Laura Beken; Brandon Cabrera,"Evolved into Palmplug Inc. (active Pacific Northwest startup; spatial computing/wearables/health/robotics/AI; 13ms-latency hand-and-finger tracking). Founder & CEO Olaoluwa Adesanya (UCI CS BS 2015-2017; also at Meta as P.Eng)."
2017,complete,Butterworth,3rd,Pippy,"$2,500",2500,AI-powered 'on-demand anything' task-fulfillment marketplace.,Karan Kanwar; Douglas Huynh; Kausthub Raj Jadhav; Martin Gomez; Antonio Lopez; Sam Chen,"Co-founders Karan Kanwar and Martin Gomez incorporated Wing AI Technologies (Wing Assistant) in 2018; won 2018 Stella Zhang NVC Consumer Services 1st ($10K); UC Berkeley SkyDeck Spring 2020 cohort; scaled to 1,000+ employees in 8 countries."
2016,complete,Beall,1st,Tag Team,"$7,500",7500,Tag - a small Bluetooth Low Energy device used with a smartphone for tracking belongings and sending distress signals; leverages a crowd-GPS network. Predates Apple AirTag by ~5 years.,Ali Shahbaz (lead); Khwaja Hassan Ahmad; Neeraj Kumar,
2016,complete,Beall,2nd,Red Lion Robotics,"$5,000",5000,Accessible tools for physical rehabilitation and assistance.,Yasemin Sarigul-Klijn (lead); Peter Wang; Brandon Tsuge,"Active company. Product GRAM (Gait Rehab Adaptive Machine) wheelchair attachment named in honor of Yasemin Sarigul-Klijn's grandmother. Won 2017 Aging 2.0 OC regional + advanced nationally. Peter Wang now Research Staff Scientist at Oak Ridge National Laboratory. Brandon Tsuge now UCI MAE Lecturer (D.Eng + PE). Placed Beall 2nd again in 2017 - only confirmed back-to-back placement in joint era."
2016,complete,Beall,3rd,CeleriBio,"$2,500",2500,Rapid quantitative diagnostic test for bloodstream infections and antibiotic resistance.,Sean Freeman; Nikki Koe; Louai Labanieh (lead); Binh Le; Sadaf Mirnia,"Team lead Louai Labanieh co-founded CARGO Therapeutics in 2021 with Crystal Mackall; CARGO acquired by Concentra Biosciences on August 18, 2025 at $4.379/share + CVR (~$170.7M total). FIRST DOCUMENTED BBComp-traceable M&A exit. Labanieh is now Assistant Professor at the Icahn School of Medicine at Mount Sinai."
2016,complete,Butterworth,1st,Sonder VR,"$7,500",7500,Virtual Reality Therapy Experience for people with Autism Spectrum Disorder so they can learn and practice social skills.,Erick Kusnadi (lead); Joy Chen; Yolanda La; Anuj Shah; Tia Moore,
2016,complete,Butterworth,2nd,WeGroove,"$5,000",5000,Uses smartphone/smartwatch sensors to play the right music at the right time.,Forest Agostinelli (lead); Ameya Raje; Chaiyathorn Vachirakornwattana; Prakul Agarwal,
2016,complete,Butterworth,3rd,Munchies,"$2,500",2500,"Mobile platform inviting college students to dine in homes, order takeout, share stories and enjoy authentic homemade cuisine.",Jonnathan Petote (lead); Nicky Huynh; Saray Rodriguez; Alyssa Lingad; Chan Woo Park; Vincent Gentile,
2015,complete,Beall,1st,MuTech Scientific (DECAY-Z),"$7,500",7500,Device that promotes ease of access to HIV diagnostics by decreasing testing cost and complexity.,Ya Kevin Thao; Abraham Phung; Diego Sandoval; Eric Wilde; Zaw Mai; Cory Schoenborn; Michael Bulotano,
2015,complete,Beall,2nd,Sixth Sense (ECO),"$5,000",5000,Energy Conservation Observer (ECO) - context-aware device that accumulates a user's energy-consumption data to encourage conservation.,Shriti Raj; Neeraj Kumar; LouAnne Boyd; Ali Shahbaz,
2015,complete,Beall,3rd,OneSeed,"$2,500",2500,Smart gardening system that removes the guesswork from gardening through sensor-driven plant care.,Stella Liu; Vouy Yeng; Sandy Pham; Aaron Rosario; Briana O'Hern; Erik Henriquez; Ryan Kuhs,
2015,complete,Butterworth,1st,Roco,"$7,500",7500,Intelligent mobile application using machine learning to create an automated private photo-sharing system. Featured one-shot facial recognition combined with geofiltering at registration.,Jenny Hua; Bing Hui Feng; Naren Sathiya; Tu Nguyen; Kasean Herrera,
2015,complete,Butterworth,2nd,NoteCycle (Quicknotes),"$5,000",5000,Crowdsourced classroom note platform - students who feel they take good notes can upload them; classmates access via the platform.,Arvind Sontha; Ofri Harlev; Treston Mendonsa,
2015,complete,Butterworth,3rd,FanFeed!,"$2,500",2500,Free mobile application enhancing the in-stadium fan experience via in-stadium food delivery and in-seat purchases.,Candace Wu; Ravi Patel; Brandon Troung,
2014,complete,Beall,1st,Spero Diagnostics,"$7,500",7500,Rapid sepsis diagnostic device targeting under three hours and under $100 per test.,Jessica Motherwell; Jose Gallegos; Ernesto Sosa; Ting-Yi Chu; Maka Pennell; Zachary Campagna,"Mentored by Prof. Michelle Khine (UCI BME) and Prof. Zoran Nenadic (UCI BME); both inducted into the 2025 Class of AIMBE Fellows (March 2025)."
2014,complete,Beall,2nd,A Hundred Tiny Hands,"$5,000",5000,Three Inventor's Toolboxes designed to teach children core engineering and science concepts.,Sophia Lin; Nicole Mendoza; Jolie McLane; Eugene Lee; Danny Greene,"Active academic nonprofit co-op at 100tinyhands.org. Kickstarter-funded ($54K+). Three of five team members went on to Khine Lab PhDs (Sophia Lin - Chemical Engineering and Materials Science, Eugene Lee, Jolie McLane / now Jolie Nokes). Sophia Lin is now Clinical Affairs and Project Manager at Vena Vitals (Khine's Y Combinator-backed startup)."
2014,complete,Beall,3rd,HydroTrack,"$2,500",2500,Bluetooth Low Energy hydration-tracking water bottle.,Michael Bryant; Aurelia Darling; Anni Liu,
2014,complete,Butterworth,1st,Blueberry (later Sparky),"$7,500",7500,Passive networking app creating a 10-foot Bluetooth bubble around the user; logs metadata when bubbles meet.,Karan Sekhri; Adrien Deguzman; Sheng Xia; Tai Cao; Derek Omuro,"Team lead Karan Sekhri now Member of Technical Staff at OpenAI. Derek Omuro maintains portfolio at domuro.com; also won 2013 UCI Med AppJam 1st ($1K) with team Berry (diabetes-logging app)."
2014,complete,Butterworth,2nd,BeatPool,"$5,000",5000,Music-pooling app letting multiple users send songs from their personal libraries to a single shared speaker.,Ekin Oguz; Sky Faber; Cesar Ghali; Fulya Ozcan,"Cesar Ghali and Fulya Ozcan formally incorporated BeatPool in 2015 (Irvine-based party-playlist app); no institutional funding raised; listed as deadpooled on Tracxn as of 2025. Cesar Ghali now Software Engineer at Google (UCI CS PhD in content-centric networking security); Sky Faber now at Grab; Ekin Oguz now at Google."
2014,complete,Butterworth,3rd,Ant-mApp,"$2,500",2500,UCI campus-event hub mobile and web app for discovering on-campus activities.,Alexsandra Guerra; Esosa Agbonwaneten; Yerlan Turekeshov; Avedis Simonian; Maharshi Patel,
2013,complete,Butterworth,1st,B.A.T. (Bluetooth Assisted Tracking),"$5,000",5000,"Indoor and outdoor visitor-pattern tracking - origin, destination, travel time, dwell time, paths. Targeted museums and galleries assessing exhibit impact and resource allocation. Significantly cheaper than Wi-Fi triangulation. Later expanded as Beacon-Assisted Technologies, producing the Kaleri museum app piloted at the Huntington Beach Art Center.",Jaime Enrique Duarte; Joan Aguilar Mayans; Robert Regue Grino; Ana Papio Toda; Estel Carbó Vinaixa; Yue Yu,
2013,complete,Butterworth,2nd,TasteBuds,"$3,500",3500,"Mobile application delivering personalized restaurant recommendations based on time of day and user mood/activity, with gaming elements.",Nithin Jilla; Michael Thomas; Candace Wu; Derek Wong; Norman Tran; Bryan Cuevas,
2013,complete,Butterworth,3rd,Life Buoy,"$1,500",1500,"iOS and web application wirelessly connecting patients to physicians for video consultations, secure health records, e-prescriptions, and emergency relief with GPS-located medical centers.",Matthew Chan; Jacob Heller; Bryan Lam; Lita Patel; Peggy Bui; Joe Hanson,
2013,complete,Butterworth,Finalist,Dorbl,,,,Alex Van Buskirk; Nick Bennett,
2013,complete,Butterworth,Finalist,Licademia,,,,Pooria Mohammadiyaghni; Ashkan Eghbal; Hossein Taji,
2013,complete,Butterworth,Finalist,Linguin,,,,Xinlu Tong; Le (Debbie) Yu; Sreevatsa K. Sreeraman; Jinelle Savia D'souza; Zhiyong Zhang; Huaying (Alan) Gu,
2013,complete,Butterworth,Finalist,MobileCast,,,,Vishal Patel; Santanu Sharma; Venu Madhav Gundeti,
2013,complete,Butterworth,Finalist,My Salon,,,,Vishal Patel; Nicholas Ceglia; Maryna Taranova,
2013,complete,Butterworth,Finalist,Dentiverse Practice Management Software,,,,Vijay Hattiangadi; Irvin Huang,
2012,complete,Butterworth,1st,Portfelo,"$5,000",5000,"Portfolio and networking platform for modeling industry professionals - photographers, models, makeup artists, hair stylists, wardrobe stylists. Vertical social network addressing pain points general tools (LinkedIn, ModelMayhem) did not solve.",Michael Cupino (lead); Ferdinand Lucero; Jordan Speer; Evan White; Danielle Yu,
2012,complete,Butterworth,2nd,Spawnd,"$3,500",3500,Social networking site for online gamers featuring a rewards system and patent-pending universal 'Spawnd Point' system enabling cross-platform stat comparisons.,Rohan Venapusala (lead); Ryan Reyes; Bellal Labanieh; Naren Sathiya; John Junyszek,
2012,complete,Butterworth,3rd,M-Prescription,"$1,500",1500,"Mobile-phone-based prescription information storage system offering enhanced security, privacy, and convenience compared to paper or server-based alternatives.",Jianlin Shi (lead); Chandra Bhavanasi; Jeffrey Tse,
2012,complete,Butterworth,Finalist,Approve,,,,Venu Madhav Gundeti (lead); Pramit Choudhary; Swapnil Chavan,
2012,complete,Butterworth,Finalist,Devue Music,,,,Jason J. Lee (lead); Juan Cortez; Kevin Lu; Albert Law; Andrew Ouyang,
2012,complete,Butterworth,Finalist,Optinerary,,,,Hang Liu (lead); Dmitri Arkhipov,
2012,complete,Butterworth,Finalist,Pictorria,,,,Mohsen Hejrati (lead); Brian Russell Reinhart,
2012,complete,Butterworth,Finalist,Rims (RFID Inventory Management System),,,,Minda Wang (lead); Manuel Yang; Jonathan Chang,
2012,complete,Butterworth,Finalist,SmartHome,,,,Zonglin Guo (lead); Zi-shun Huang; Xiaoyi Zhang,
2012,complete,Butterworth,Finalist,Whobot,,,,Maryam Khademi (lead); Bryant Pham,
2011,no_public_record,Butterworth,,,,,"The competition was held and a top three was recognized, per a search-snippet reference. Detailed placements, team names, members, and project descriptions are not currently publicly accessible. Contributions welcome - see CONTRIBUTING.md.",,
2010,no_public_record,Butterworth,,,,,"The competition was held but no public records of placements, teams, or members surfaced during research. Contributions welcome - see CONTRIBUTING.md.",,
